iter	Passed	Remaining
0	7	1465
1	12	1276
2	22	1466
3	29	1450
4	38	1483
5	45	1459
6	55	1518
7	63	1517
8	76	1632
9	88	1689
10	97	1672
11	111	1751
12	127	1835
13	142	1889
14	150	1853
15	160	1844
16	169	1828
17	179	1816
18	189	1802
19	194	1754
20	204	1739
21	210	1705
22	219	1692
23	225	1656
24	233	1636
25	241	1613
26	247	1584
27	255	1571
28	266	1571
29	273	1552
30	282	1541
31	292	1536
32	307	1555
33	317	1552
34	326	1538
35	335	1526
36	340	1500
37	348	1487
38	355	1467
39	362	1450
40	371	1441
41	379	1426
42	387	1413
43	393	1395
44	401	1383
45	407	1364
46	415	1352
47	421	1335
48	428	1321
49	435	1306
50	441	1291
51	451	1284
52	456	1266
53	465	1257
54	471	1242
55	477	1228
56	488	1224
57	501	1228
58	514	1229
59	521	1217
60	529	1206
61	535	1192
62	541	1176
63	550	1168
64	556	1155
65	566	1149
66	573	1137
67	583	1131
68	590	1120
69	599	1113
70	605	1100
71	614	1092
72	621	1081
73	629	1072
74	636	1061
75	645	1053
76	652	1043
77	663	1037
78	671	1028
79	684	1027
80	698	1026
81	709	1020
82	718	1012
83	729	1006
84	735	995
85	744	986
86	749	973
87	756	962
88	765	954
89	771	942
90	780	934
91	786	923
92	796	916
93	802	904
94	811	897
95	818	886
96	829	880
97	836	870
98	846	863
99	854	854
100	865	848
101	876	842
102	888	836
103	905	835
104	924	836
105	936	830
106	947	823
107	957	815
108	964	805
109	972	795
110	981	787
111	990	777
112	997	768
113	1006	759
114	1013	748
115	1024	742
116	1031	731
117	1041	723
118	1049	714
119	1058	705
120	1065	695
121	1076	688
122	1090	682
123	1102	675
124	1113	667
125	1126	661
126	1134	652
127	1144	644
128	1152	634
129	1161	625
130	1170	616
131	1179	607
132	1192	600
133	1199	590
134	1208	581
135	1214	571
136	1223	562
137	1229	552
138	1238	543
139	1244	533
140	1253	524
141	1259	514
142	1264	504
143	1274	495
144	1282	486
145	1292	478
146	1304	470
147	1315	462
148	1323	453
149	1330	443
150	1339	434
151	1345	424
152	1355	416
153	1361	406
154	1370	397
155	1378	388
156	1388	380
157	1394	370
158	1402	361
159	1408	352
160	1414	342
161	1422	333
162	1427	324
163	1436	315
164	1442	305
165	1451	297
166	1457	287
167	1463	278
168	1473	270
169	1486	262
170	1500	254
171	1507	245
172	1517	236
173	1523	227
174	1531	218
175	1538	209
176	1546	200
177	1552	191
178	1558	182
179	1568	174
180	1575	165
181	1585	156
182	1591	147
183	1600	139
184	1606	130
185	1615	121
186	1621	112
187	1629	103
188	1635	95
189	1641	86
190	1650	77
191	1655	68
192	1665	60
193	1672	51
194	1685	43
195	1696	34
196	1709	26
197	1717	17
198	1724	8
199	1734	0
