Model,Accuracy,ROC AUC,Precision,Recall,F1,MSE,RMSE,R^2
Logistic Regression,0.7681017612524462,0.8048668503213957,0.14942528735632185,0.7222222222222222,0.24761904761904766,0.2318982387475538,0.48155813641506856,-3.633723599632691
SVM,0.8424657534246576,0.6864095500459138,0.11510791366906475,0.2962962962962963,0.16580310880829016,0.15753424657534246,0.3969058409438471,-2.1478037955310687
KNeighbors,0.8522504892367906,0.6014214110805021,0.08547008547008547,0.18518518518518517,0.1169590643274854,0.14774951076320939,0.3843819854821625,-1.9522880318334868
GaussianNB,0.19275929549902152,0.7965545607591062,0.05942857142857143,0.9629629629629629,0.11194833153928956,0.8072407045009785,0.8984657503216127,-15.130050505050505
BernoulliNB,0.6056751467710372,0.7844543924089379,0.10250569476082004,0.8333333333333334,0.18255578093306288,0.3943248532289628,0.6279529068560499,-6.87928527701255
Decision Tree,0.8688845401174168,0.5550198959289869,0.10784313725490197,0.2037037037037037,0.14102564102564105,0.13111545988258316,0.3620986880431675,-1.6199112335475974
Random Forest,0.8992172211350293,0.7313666972757882,0.09836065573770492,0.1111111111111111,0.10434782608695653,0.10078277886497064,0.3174630354308524,-1.0138123660850935
XGBoost,0.8972602739726028,0.7402624732170188,0.14084507042253522,0.18518518518518517,0.16,0.10273972602739725,0.3205303823780162,-1.05291551882461
AdaBoost,0.8258317025440313,0.7536539638812365,0.13095238095238096,0.4074074074074074,0.19819819819819817,0.17416829745596868,0.41733475467059855,-2.4801805938169577
CatBoost,0.9090019569471625,0.7154499540863176,0.10204081632653061,0.09259259259259259,0.09708737864077671,0.09099804305283757,0.30165881895419133,-0.8182966023875116
LightGBM,0.9324853228962818,0.7666245791245792,0.2222222222222222,0.1111111111111111,0.14814814814814814,0.0675146771037182,0.25983586569932604,-0.34905876951331516
Gradient Boosting,0.9275929549902152,0.7339876033057852,0.16666666666666666,0.09259259259259259,0.11904761904761904,0.07240704500978473,0.2690855719093551,-0.44681665136210613
Bagging,0.8962818003913894,0.7477521426385063,0.10606060606060606,0.12962962962962962,0.11666666666666667,0.10371819960861056,0.32205310060393855,-1.072467095194368
